"ParentPartNumber","Name","Price"
"100163149","Caltrate 600+D3 Plus Minerals, 320 Tablets","14.99"
"100038032","Rogaine for Men Hair Regrowth Treatment Extra Strength 4-pack Foam Solution","49.99"
"100332456","Omega Seamaster Aqua Terra Women's Automatic Watch","8,999.99"
"100157786","Geneva High Pile Machine Made Hand Carved Rugs - Jade","169.99"
"100238662","Anolon Nouvelle Copper Hard-Anodized Non-Stick 11-piece Dark Gray Cookware Set","299.99"
"100312671","Vornado Whole Room Tower Heater","99.99"
"100167757","Square Emerald Cut 2.30 ctw VS1 Clarity G Color Diamond Baguette Platinum Ring","19,999.99"
"100158356","LG 24CuFt 3-Door French Door Ultra Capacity Counter-Depth Refrigerator in Black Stainless Steel","2,499.99"
"100140214","NewAge Products Performance Plus Series 10-piece Cabinetry Set  ","1,799.99"
"100039407","Sleep Science 9"" Natural Latex Twin XL Mattress with Adjustable Base","2,699.99"
"100302326","Fujitsu ScanSnap IX500 Scanner for PC and Mac","429.99"
"11313686","Dunkin Donut's Original Blend Coffee 40oz FOL 214933","18.99"
"100160037","LC® Platinum 400TC Perfect Puff Down Comforter","149.99"
"100150107","Novaform 14"" Comfort Grande Cal King Gel-Memory Foam Mattress","799.99"
"100322398","Fullerton Upholstered Queen Headboard in Groupie Praline","349.99"
"100325748","Swagtron Swagger Collapsible Electric Scooter","379.99"
"100217684","Duralex Picardie Glasses Set of 12","32.99"
"100322243","The Best Classic Bedtime Stories: 8 Board Book Box Set","21.99"
"11228077","12-pack Dust-Off Compressed Gas Duster","39.99"
"100170619","NXR Stainless Steel Range Hood Chimney Cover Extension","129.99"
"100320575","Steep Xbox One Video Game","49.99"
"11478238","HP 642A Toner Cartridge Black","188.99"
"11118503","Hartford Bonded Leather Storage Bench","199.99"
"100113601","Solo Plastic Fork White 500ct  ","12.49"
"100302723","Hand Tufted Blue Pinstripe Area Rug","159.99"
"11739542","Office Impressions Invisible Tape 1/2"" x 1296"" 12ct OFF 82216PK","12.79"
"11273073","Kirkland Signature Omeprazole 20 mg., 42 Tablets","15.99"
"100312040","Cielo Full Wall Bed in Gray","999.99"
"100285410","SquareTrade 3 Years (For Kitchen Suites Above $4000)","399.99"
"11514044","Swingline Compact Electric Pencil Sharpener Gray Green ","21.39"
"100220073","Boutique 36"" Storage With Drawers and Doors ","699.99"
"100320636","Daniele Inc Pancetta – Nitrite & Nitrate Free","72.99"
"11483424","Shademobile® Rolling Umbrella Base","139.99"
"11127638","HON 310 Series 4-Drawer Letter File 26-1/2""D Vertical Charcoal","289.99"
"100137926","Alden Park Entertainment Chest","799.99"
